Subjectid,ABCA7,APOE,BIN1,CD2AP,CD33,CLU,CR1,MS4A6A,PICALM
116_S_1249,6.823,2.498,9.741,2.434,7.46,9.99,5.219,8.078,7.594
002_S_1268,6.779,3.27,9.726,2.507,7.739,9.76,6.191,6.471,7.31
027_S_0835,6.763,3.144,9.705,2.402,7.625,8.969,5.399,7.843,7.527
037_S_0303,6.782,2.768,9.955,2.176,7.558,8.992,6.29,6.969,7.419
023_S_4020,7.336,3.141,9.56,2.579,7.91,9.764,5.31,7.142,7.357
023_S_1046,6.938,3.184,9.916,2.436,7.155,8.489,5.157,6.692,6.447
009_S_0842,7.196,2.998,10.209,2.199,7.265,9.323,5.928,6.516,7.084
031_S_0830,6.605,3.357,10.195,2.656,7.231,9.174,5.973,6.468,7.16
022_S_4196,7.052,3.527,10.071,2.55,7.09,10.815,6.005,6.634,7.259
021_S_0626,7.323,3.339,10.056,2.383,7.19,9.832,6.563,5.871,7.213
005_S_0448,7.601,2.987,10.14,2.572,7.833,9.896,6.361,6.692,7.093
027_S_0644,7.099,3.414,9.8,2.105,7.408,9.485,5.901,7.416,7.462
002_S_0413,6.986,2.915,10.021,2.638,7.603,9.065,5.54,6.999,7.143
